# Gênero de cada título, do TMDB. Gerado por gerar_generos.py — não editar à mão.
# tipo	título	gêneros separados por vírgula
f	#AMFAD: All My Friends Are Dead	Terror,Comédia,Suspense
f	#Alive (2020)	Ação,Terror,Ficção científica
f	#Alto Realidade	Comédia
f	#Alto Realidade (2017)	Comédia
f	#ComVocê: Volume 2	Drama,Comédia
f	#ComVocê: Volume: 1	Comédia,Drama
f	#ComVocê: Volume: 1 (2021)	Comédia,Drama
f	#Comvocê: Volume 2 (2021)	Drama,Comédia
f	#Manhole - Desvio Fatal	Drama,Suspense
f	#NUDES	Drama
f	#NUDES (2018)	Comédia,Romance
f	#Natal	TV,Mistério
f	#Natal (2022)	Família,Aventura,Fantasia
f	#PartiuFama: Cancelado no Amor	Comédia
f	#REALITYHIGH	Comédia
f	#SKYKING	Documentário
f	#SalveRosa	Suspense,Drama
f	#SeAcabó: Diário das Campeãs	Documentário
f	#SemSaida (2020)	Terror,Suspense
f	#SemSaída	Terror,Suspense
f	#Sem_Filtro - Noite Sangrenta	Terror,Suspense,Fantasia,TV
f	#eagoraoque	Documentário
f	#eagoraoque (2020)	Documentário
f	+ Velozes + Furiosos	Ação,Crime,Suspense
f	-O Ato Final-	Drama,Comédia
f	...E o Bravo Ficou Só	Faroeste,Romance
f	...E o Bravo Ficou Só (1967)	Faroeste,Romance
f	...E o Vento Levou	Drama,Guerra,Romance
f	...E o Vento Levou (1939)	Drama,Guerra,Romance
f	0.0MHz	Terror
f	000 Espécies de Abelhas	Drama
f	007 - Permissão para Matar	Aventura,Ação,Suspense
f	007 Cassino Royale (2006)	Aventura,Ação,Suspense
f	007 Contra GoldenEye	Aventura,Ação,Suspense
f	007 Contra GoldenEye (1995)	Aventura,Ação,Suspense
f	007 Contra Goldfinger	Aventura,Ação,Suspense
f	007 Contra Goldfinger (1964)	Aventura,Ação,Suspense
f	007 Contra Octopussy	Aventura,Ação,Suspense
f	007 Contra Octopussy (1983)	Aventura,Ação,Suspense
f	007 Contra Spectre	Ação,Aventura,Suspense
f	007 Contra Spectre (2015)	Ação,Aventura,Suspense
f	007 Contra a Chantagem Atômica	Aventura,Ação,Suspense
