@Homem-Aranha: A Nova Série Animada	2003	1664
1	1	dub	3:353198,11:2102984,9:353198,13:353198,15:353198,17:2102984
1	2	dub	3:353199,11:2102985,9:353199,13:353199,15:353199,17:2102985
1	3	dub	3:353200,11:2102986,9:353200,13:353200,15:353200,17:2102986
1	4	dub	3:353201,11:2102987,9:353201,13:353201,15:353201,17:2102987
1	5	dub	3:353202,11:2102988,9:353202,13:353202,15:353202,17:2102988
1	6	dub	3:353203,11:2102989,9:353203,13:353203,15:353203,17:2102989
1	7	dub	3:353204,11:2102990,9:353204,13:353204,15:353204,17:2102990
1	8	dub	3:353205,11:2102991,9:353205,13:353205,15:353205,17:2102991
1	9	dub	3:353206,11:2102992,9:353206,13:353206,15:353206,17:2102992
1	10	dub	3:353207,11:2102993,9:353207,13:353207,15:353207,17:2102993
1	11	dub	3:353208,11:2102994,9:353208,13:353208,15:353208,17:2102994
1	12	dub	3:353209,11:2102995,9:353209,13:353209,15:353209,17:2102995
1	13	dub	3:353210,11:2102996,9:353210,13:353210,15:353210,17:2102996
@Kevin	2026	255760
1	1	leg	7:1500043
1	2	leg	7:1500044
1	3	leg	7:1500045
1	4	leg	7:1500046
1	5	leg	7:1500047
1	6	leg	7:1500048
1	7	leg	7:1500049
1	8	leg	7:1500050
@Monster High	2022	131532
1	1	dub	https://embedplayer2.xyz/cdn/hls/e53cce4f0f92a99d1d436a075b90668c/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/67da33d212e98b13cd791d3703a33e6d/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/b0903393b10f2f648d6b040c653f10ba/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/33fc927a98a8e288ff9dc4b954e7c4dc/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/f54ff0b62c3f7c7f333854b56af41ad3/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/d7f522c8d513d0077997686a570c6db7/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/9d9c51d4a1df9d6a6f0a0d095f2a37d5/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/1e98f56523b0d4f9d770ed0104eb628c/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/00b5fa792bdf833a325ad2f3fc7e9b5e/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/78739aaa8e8eddaa10ac9565d87fed03/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/f5a8626df0c28ca21fcaca1e3f0324e4/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/d87165b003174f249df7fd14f72c7221/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/68e80e1ceab4f08e0523fa302c41f0ce/master.txt
@Primal	2019	89456
1	1	dub	11:2272938,7:1493390,17:2272938
1	1	leg	3:362516,11:2101103,9:362516,13:362516,15:362516,17:2101103
1	2	dub	11:2272939,7:1493391,17:2272939
1	2	leg	3:362517,11:2101104,9:362517,13:362517,15:362517,17:2101104
1	3	dub	11:2272940,7:1493392,17:2272940
1	3	leg	3:362518,11:2101105,9:362518,13:362518,15:362518,17:2101105
1	4	dub	11:2272941,7:1493393,17:2272941
1	4	leg	3:362519,11:2101106,9:362519,13:362519,15:362519,17:2101106
1	5	dub	11:2272942,7:1493394,17:2272942
1	5	leg	3:362520,11:2101107,9:362520,13:362520,15:362520,17:2101107
1	6	dub	11:2272943,7:1493395,17:2272943
1	6	leg	3:362521,11:2101108,9:362521,13:362521,15:362521,17:2101108
1	7	dub	11:2272944,7:1493396,17:2272944
1	7	leg	3:362522,11:2101109,9:362522,13:362522,15:362522,17:2101109
1	8	dub	11:2272945,7:1493397,17:2272945
1	8	leg	3:362523,9:362523,13:362523,15:362523
1	9	dub	11:2272946,7:1493398,17:2272946
1	9	leg	3:362524,11:2101110,9:362524,13:362524,15:362524,17:2101110
1	10	dub	11:2272947,7:1493399,17:2272947
1	10	leg	3:362525,11:2101111,9:362525,13:362525,15:362525,17:2101111
2	1	dub	11:2272948,7:1493400,17:2272948
2	1	leg	3:362526,11:2101112,9:362526,13:362526,15:362526,17:2101112
2	2	dub	11:2272949,7:1493401,17:2272949
2	2	leg	3:362527,11:2101113,9:362527,13:362527,15:362527,17:2101113
2	3	dub	11:2272950,7:1493402,17:2272950
2	3	leg	3:362528,11:2101114,9:362528,13:362528,15:362528,17:2101114
2	4	dub	11:2272951,7:1493403,17:2272951
2	4	leg	3:362529,11:2101115,9:362529,13:362529,15:362529,17:2101115
2	5	dub	11:2272952,7:1493404,17:2272952
2	5	leg	3:362530,11:2101116,9:362530,13:362530,15:362530,17:2101116
2	6	dub	11:2272953,7:1493405,17:2272953
2	6	leg	3:362531,11:2101117,9:362531,13:362531,15:362531,17:2101117
2	7	dub	11:2272954,7:1493406,17:2272954
2	7	leg	3:362532,11:2101118,9:362532,13:362532,15:362532,17:2101118
2	8	dub	11:2272955,7:1493407,17:2272955
2	8	leg	3:362533,11:2101119,9:362533,13:362533,15:362533,17:2101119
2	9	dub	11:2272956,7:1493408,17:2272956
2	9	leg	3:362534,11:2101120,9:362534,13:362534,15:362534,17:2101120
2	10	dub	11:2272957,7:1493409,17:2272957
2	10	leg	3:362535,11:2101121,9:362535,13:362535,15:362535,17:2101121
3	1	dub	11:2272958,7:1493410,17:2272958
3	1	leg	3:362536,11:2101122,9:362536,13:362536,15:362536,17:2101122
3	2	dub	11:2272959,7:1493411,17:2272959
3	2	leg	3:363262,11:2101123,9:363262,13:363262,15:363262,17:2101123
