@A Juíza do Inferno	2024	235577
1	1	dub	https://embedplayer2.xyz/cdn/hls/c90ddae473a7c491345f71a18297bf7a/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/fc0e789ede812849cfa210474d7e1a7f/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/7f2801528a3f08be2baacdd83b350966/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/495c0da5f63f6fe85bc73884308f7e4d/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/2c2ea2bc93ec609ef5229d4acf0a7278/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/64e84809da40e91640aca89d9deac741/master.txt
@Vapor Humano	2026	253960
1	1	dub	https://embedplayer2.xyz/cdn/hls/c8ca3ba599ab86610f8d77ac9a3a697e/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/f75ba6184bf1642e1a2967ac0f3b17a6/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/a136e7bdc60dc84d5836dc7c0c98d1c4/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/dcbdba3e3988b336232ea0b70babe6d5/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/b7a6e9fcfb0441f524c93c73cfd10218/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/26d634dfd926fce2948b3e878ab75bb6/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/6a165618ed7501c5ca3485047a9aa485/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/821ba21c5c7c60119292ee53e67e7709/master.txt
@Se Desejos Matassem...	2026	285838
1	1	dub	https://embedplayer2.xyz/cdn/hls/9ff54f014b7dfa2232b301b501b29aa9/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/ede91ecd6e31f74d55d71a8969784880/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/2c0b8eede747cbf3ef0ac1df24062a72/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/89cdb870c36932310504a1c3ff6826af/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/0ad1fd7f2b8a7b15480b2b30d48299d1/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/140775e244f84759e1b29435405d2bec/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/887a750e2a2e7e6507299e57a81b6ca1/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/be7054173d3ec3cecf5d39f30273126d/master.txt
@Beijo Explosivo	2025	281013
1	1	dub	https://embedplayer2.xyz/cdn/hls/3e384c3aae3f9a430758f01a85e71e59/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/a49b20fd9bd044511a7bd674d0ecbf9e/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/183954729f07a5b147413eb09e8d4a6e/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/1371456f468eadf896d06697ade1fcdd/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/51121b6796233e8486520e6c108b0ba7/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/5729a18474d3b51815d78aa1076cc2a7/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/ab00a1f7f67db4a8ce47ff6347657a69/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/36f78b2026b3a8e25bd8526d7d934418/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/d2b232b2599f2a7633463d1202e48461/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/93854f8e723883af9bb9bd25657b835e/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/8eee461fa892b329ac40707e36e45921/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/26d140a06702123ce0c6f228795a53f1/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/a7ce313dbb797845a06d4cfbc10a1dbe/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/855aa179ed31d4855eae53903a6ce576/master.txt
@Médicos em Colapso	2024	222233
1	1	dub	https://embedplayer2.xyz/cdn/hls/b0e7919998ffbeac80bf41bec7f5186f/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/c12b823a5063da1a662e7d143ee21346/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/3da738c1ca01c40c304f068044f7c773/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/5e86383d6862849e7701dc4485c850b5/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/b763ffc842a6d445b2bbd9195c26bf48/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/ed598fdd7e299664dbeeaed3207552c8/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/e06b76fe0b6683b5cb06e08861226b8d/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/94ab98c5ec22ad207695cf410f13856a/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/9c15bdf4d097aa677ec378f42efc16d4/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/70150b12dca5d33ba8b2b71eaf7aabe6/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/ccadc292acc3112a7916f1af27f92584/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/5d51f76a034e7084eb6e0d3f970ee336/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/f7827ab651d52465caca639f90b5e350/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/85795e6ba16b3d43647a23023acff5e5/master.txt
1	15	dub	https://embedplayer2.xyz/cdn/hls/136dded449a67359fa907c25c41976f5/master.txt
1	16	dub	https://embedplayer2.xyz/cdn/hls/cb53d238d9c2c83d708f8a18c82c68a9/master.txt
@Cães de Caça	2023	127529
1	1	dub	https://embedplayer2.xyz/cdn/hls/175825554940f8739646b02fa4a0637f/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/662e3fc1e03d0cccda7005983d06f738/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/5d8f2c77d565c95f0bde139df8040f2f/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/2dd8015a9ecac021f82ec0ead6ed37d8/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/ffcc08391eec2562aeee09f3a88f9552/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/15613ac91193e2ba9b04b114b18987cc/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/c2f8e7a5db6d2227449b39c08f0ea235/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/460ccb751727e638b71dcb15f148c2ef/master.txt
2	1	dub	https://embedplayer2.xyz/cdn/hls/632d22efaf0d0884d31bd2da644bf269/master.txt
2	2	dub	https://embedplayer2.xyz/cdn/hls/d45d12ec600537672743f497ba59ac53/master.txt
2	3	dub	https://embedplayer2.xyz/cdn/hls/eade7e0f5ba094acc4126b849b2c096d/master.txt
2	4	dub	https://embedplayer2.xyz/cdn/hls/3f9a2b9826b40abe178d1bca37a966f0/master.txt
2	5	dub	https://embedplayer2.xyz/cdn/hls/7374c43d1e62b928666c7234ad592494/master.txt
2	6	dub	https://embedplayer2.xyz/cdn/hls/b4b88b3732566fbe6e5c9141477ec7b0/master.txt
2	7	dub	https://embedplayer2.xyz/cdn/hls/c920eac0cf623a3c6e116aaf14b86eab/master.txt
@Alice in Borderland	2020	110316
1	1	dub	https://embedplayer2.xyz/cdn/hls/142dda44f8a77dcc3f05fbf20a39bcd8/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/f2024fab65ba607ecdf6d54385fbb022/master.txt
