@Murder in a Small Town	2024	241549
1	1	dub	https://embedplayer2.xyz/cdn/hls/8f34355a7f409536a232a39c58b56323/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/922ecaa8094010e8aa9ebdb5534153b7/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/7e2da2ef69c517e2cd959a9f7e8a8543/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/3f1cdf5cdc74015ef8303eafd8f47162/master.txt
@American Hostage	2026	239618
1	1	dub	https://embedplayer2.xyz/cdn/hls/2602e680577770f90b9ef553b23beff9/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/dba235f8d1ee721f0a3e02eef33a722f/master.txt
@Indomável	2025	248852
1	1	dub	https://embedplayer2.xyz/cdn/hls/80567660d05a361e268d117ad5bd36c8/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/42ec1d03a80c8609f241897b628a8302/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/f9a496f59b397bfcf76e000ec57d3f08/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/34fcf0a52871817bf36744b6b3b71191/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/593c208cf91b9a8b2109a0392a128f2b/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/7f75c4828a03a844899a1910084b2ebe/master.txt
@The Society	2019	84647
1	1	dub	https://embedplayer2.xyz/cdn/hls/b352895328e3abd4169a334977edde4c/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/0fbba2300f278da843588f6f963f3f19/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/a30bda9831cbd118b5dcffe2c86d1643/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/769d0db5f7d0e0bc4006a65bf3d6cc0a/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/52be521ea69cc396854897582e069746/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/6d1c3cd7b5cdc58f0ff9e178bb40d3e2/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/1309d535ebec696d1a9aa0ce3e8d6b4b/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/eb12d70ed1b1f0388b4c0ac05d1e23f9/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/7b437110b49424c6bcc8925e5f948bc4/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/dd347188b894e3a331bf4e3065fbb907/master.txt
@Mão de Deus	2014	61263
1	1	dub	https://embedplayer2.xyz/cdn/hls/43d9af19ee1e4749cfd67285fd6484f3/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/255aed0aa710dbfa55fb559f6ac7d4ea/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/602e74e18eead648bca510448a877bd6/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/e5f4639812ba622567bc8be3d236537a/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/936ea8dd2986ae05c0a1f6b92a56dc7a/master.txt
